CustomerID,ProductID,Quantity,Price,TransactionDate,PaymentMethod,StoreLocation,ProductCategory,DiscountApplied(%),TotalAmount
546265,B,3,58.45045402,17-11-2023 13:36,PayPal,"084 Rowland Walks
Lake Scotttown, MH 98077",Clothing,2.637836973,170.725879
328965,A,6,46.63463443,25-09-2023 18:36,PayPal,"430 Anthony Crossroad
Emilyton, NC 14441",Clothing,5.807990025,263.5565971
43404,B,3,55.50309736,31-03-2024 17:50,Credit Card,"59073 Tran Valleys
Danielleton, SD 24798",Clothing,3.597707974,160.518774
208284,A,9,46.99302933,11-03-2024 21:36,Debit Card,"4220 Malone Islands Suite 192
South Kristinfort, UT 54809",Home Decor,4.114880842,405.5338995
457717,A,5,95.48251646,01-11-2023 18:22,PayPal,"3146 Brown Shoals Suite 835
North Michaelville, MH 70590",Home Decor,8.031864706,439.0674496
638267,D,6,11.83908674,15-02-2024 15:56,Credit Card,"9602 Mason Pine
New Patricia, DE 18390",Home Decor,9.345279695,64.39614581
796231,D,4,49.22478947,07-06-2023 20:12,PayPal,"04437 Pineda Terrace Apt. 280
East Aaronton, SC 67895",Books,0.910209016,195.106964
984695,A,2,52.60143741,27-06-2023 15:36,PayPal,"2582 Brandon Hill
New Joshualand, WI 30634",Electronics,15.91142895,88.46359415
102219,B,5,61.26904069,25-05-2023 21:51,Cash,"4702 Mckee Prairie Suite 530
West Nicoleville, NC 37984",Clothing,13.46936897,265.0824377
982635,A,1,86.05447296,12-01-2024 03:52,Cash,"366 Shawna Knolls Apt. 987
Port Nicole, MA 76560",Home Decor,9.302489785,78.0492644
73142,C,8,22.01571179,20-07-2023 14:17,Cash,"207 Laura Street
Nicoleburgh, PA 22504",Electronics,9.312223747,159.7244756
748957,D,7,63.47855967,30-11-2023 02:54,Credit Card,"316 Williams Hollow
North Cindy, ME 89373",Books,10.38028508,398.2251295
275463,B,5,97.98002894,06-03-2024 12:13,Credit Card,"PSC 2776, Box 2435
APO AP 79172",Home Decor,7.711728652,452.1203749
