CustomerID,ProductID,Quantity,Price,TransactionDate,PaymentMethod,StoreLocation,ProductCategory,DiscountApplied(%),TotalAmount
839809,B,7,69.4158804,09-07-2023 03:47,PayPal,"93173 Collins Via
South Gregoryshire, WA 25862",Electronics,1.913036375,476.6155055
774705,C,3,89.10954457,09-10-2023 15:08,Cash,"526 Courtney Courts
Holmesland, NY 05841",Home Decor,19.09031887,216.2947451
576243,A,5,17.19499743,25-04-2024 04:06,Credit Card,"5705 Ford Villages
Lake Joseph, HI 42471",Home Decor,3.417434759,83.03684804
752967,C,1,63.68280122,25-02-2024 14:51,PayPal,"74960 Reeves Row Suite 656
West Cathyport, AZ 68944",Electronics,8.217078325,58.44993557
552884,C,4,84.16523674,14-05-2023 23:30,Credit Card,"82384 Lloyd Street Suite 640
Jonesmouth, WY 79495",Books,8.9417935,306.5574203
596936,B,8,56.5103425,28-03-2024 02:47,PayPal,"55602 Denise Mountain
Tuckerville, MN 45885",Books,11.65955047,399.3719248
919926,D,7,63.29753161,06-11-2023 16:26,Cash,"7620 Strickland Union
Lake Jeffery, TN 02387",Books,7.653370413,409.1719594
380621,B,6,29.65874117,11-05-2023 00:04,Cash,"5526 Brandon Junctions
Phillipsburgh, KS 72440",Clothing,18.32626033,145.3404183
843725,A,1,35.14185562,11-04-2024 14:42,Credit Card,"5824 Snyder Parkway
Lake Michael, RI 80373",Home Decor,9.030640943,31.96832081
911559,C,8,69.23118241,07-10-2023 07:28,PayPal,"7972 Dickerson Prairie
Lake Jackview, MP 68613",Electronics,3.716613081,533.2650178
230694,A,1,51.09177507,26-06-2023 18:50,PayPal,"5694 Nolan Canyon Apt. 668
Dianemouth, NV 65332",Clothing,0.04364042,51.0694784
529231,D,3,35.23420098,10-01-2024 16:50,PayPal,"623 Smith Parkway
Martinmouth, GU 62071",Clothing,5.03013291,100.3856215
224336,D,3,36.9733751,22-01-2024 23:17,Cash,"00216 Hunter Ranch Suite 625
Lake Alexisside, NH 52221",Clothing,0.638952841,110.211398
725711,A,9,93.93970213,19-04-2024 10:42,Cash,"09504 Young Street
West Melissahaven, IN 88851",Electronics,18.63973245,687.8663369
298936,D,4,96.69131607,24-03-2024 13:18,Debit Card,"4976 Edwards Way
Lake Lindseystad, DC 05922",Home Decor,9.167582972,351.3082378
671080,D,6,66.71566007,14-10-2023 16:10,PayPal,"8230 Edward Crest
Mclaughlinmouth, TX 44357",Home Decor,11.03182881,356.134216
934580,B,7,28.37734457,20-02-2024 15:53,PayPal,"USCGC Munoz
FPO AP 98774",Home Decor,7.448838253,183.8449345
269465,B,6,91.25273935,02-10-2023 23:35,Debit Card,"478 Horne Creek Apt. 552
Lake Cindy, MT 29716",Electronics,14.75938304,466.7063881
672373,B,1,45.97702355,01-06-2023 03:20,PayPal,"0537 Whitney Fort
West Gavin, MS 19883",Clothing,18.14111375,37.63627941
100785,A,5,27.39818066,31-10-2023 15:41,Credit Card,"13451 English Pine Suite 179
North Pennymouth, GA 23065",Clothing,17.42547625,113.119586
481764,A,2,44.82666104,11-05-2023 13:29,Cash,"USCGC Mendoza
FPO AA 56180",Home Decor,1.363368709,88.43101675
202965,D,8,14.6056012,07-11-2023 05:55,Cash,"731 Webb Stravenue Suite 009
Port Marissaland, ME 80550",Books,6.896640385,108.7864432
533918,B,4,85.58415852,31-10-2023 07:29,PayPal,"991 Evan Heights
Seanhaven, MA 79002",Clothing,12.11119484,300.8755773
13817,B,4,22.51310813,20-04-2024 22:44,Debit Card,"34539 Peter View Apt. 324
Contreraston, MP 17303",Clothing,16.67886279,75.03271087
401960,C,2,84.36729657,12-10-2023 07:56,Credit Card,"14109 Brittany Spring
West Pamelachester, MN 77509",Electronics,8.382332079,154.5906992
900813,C,1,12.83062773,17-02-2024 03:00,Credit Card,"Unit 9248 Box 7729
DPO AE 09191",Electronics,18.83929004,10.41342856
166974,A,1,71.36300474,31-01-2024 05:20,Cash,"084 Knight Green Apt. 279
Matthewfort, MO 58085",Electronics,6.202353034,66.93681926
696099,B,9,12.58849771,13-07-2023 06:38,Debit Card,"772 James Stravenue Apt. 036
North Ericland, VT 92872",Clothing,5.605203059,106.9459816
250917,C,8,76.25761412,05-12-2023 08:48,Credit Card,"865 Lopez Harbors Suite 221
New Philip, MA 41744",Books,2.297874706,596.0424775
202383,D,7,99.83016486,09-07-2023 12:49,Cash,"99412 Forbes Centers Suite 164
Caseside, MA 61728",Electronics,14.41503463,598.0772841
